nome,latitude,longitude
meireles,-3.727682,-38.510029
aldeota,-3.7375134,-38.5112182
centro,-3.7282744,-38.5359503
Barra do Ceará,-3.7048277,-38.5891124
Dionísio Torres,-3.7475519,-38.5064802
Mucuripe,-3.7269257,-38.4854263
Guararapes,-3.763166,-38.4937411
Cocó,-3.7512328,-38.4889979
Varjota,-3.7344901,-38.4897665
Fátima,-3.7513934,-38.5372482
Jardim das Oliveiras,-3.7800073,-38.5121327
Conjunto Palmeiras,-3.8485615,-38.5371866
Pici,-3.748823,-38.5836731
Edson Queiroz,-3.775925,-38.478644
Passaré,-3.8124272,-38.5391182
