latitude,longitude
-3.727682,-38.510028999999996
-3.7269257000000007,-38.4854263
-3.7344901,-38.489766499999995
-3.7512328,-38.4889979
-3.775925,-38.478644
-3.7631660000000005,-38.4937411
-3.7475519,-38.506480200000006
-3.7800073,-38.5121327
-3.8485614999999997,-38.537186600000005
-3.8124272000000006,-38.539118200000004
-3.7513934,-38.5372482
-3.7488230000000002,-38.583673100000006
-3.7048277,-38.5891124
-3.7282744,-38.535950299999996
-3.7375133999999997,-38.5112182
-3.727682,-38.510028999999996
